clean_address,crime_count,most_frequent_crime
BRACE ST,1,CRIMINAL MISCHIEF
BRACE ST     ,4,AGGRAVATED ASSAULT
BRADFORD CT,6,SIMPLE ASSAULT
BRADFORD CT   ,1,MV THEFT
BRADFORD CT     ,12,CRIMINAL MISCHIEF
BRADFORD LN     ,1,BURGLARY
BRADFORD PKWY,5,CRIMINAL MISCHIEF
BRADFORD PKWY ,1,MV THEFT
BRADFORD PKWY   ,15,LARCENY
BRADFORD ST,4,CRIMINAL MISCHIEF
BRADFORD ST   ,1,OFFN AGAINST FAMILY
BRADFORD ST     ,12,CRIMINAL MISCHIEF
BRADLEY ST,13,SIMPLE ASSAULT
BRADLEY ST   ,1,LARCENY
BRADLEY ST     ,30,POSSESSION/USE DANGEROUS WEAPONS
BRAMPTON RD,2,CRIMINAL MISCHIEF
BRAMPTON RD     ,4,LARCENY
BRATTLE RD,16,LARCENY
BRATTLE RD     ,42,LARCENY
BREWERTON RD,1,POSSESSION/USE DRUG
BRIDGE ST     ,1,SIMPLE ASSAULT
BRIGGS AV,1,SIMPLE ASSAULT
BRIGGS AV     ,1,OFFN AGAINST FAMILY
BRIGGS ST,6,BURGLARY
BRIGGS ST     ,34,LARCENY
BRIGHTON AV     ,2,LARCENY
BRIGHTON AVE    ,2,CRIMINAL MISCHIEF
BRIGHTON PL,10,CRIMINAL MISCHIEF
BRIGHTON PL   ,4,LARCENY
BRIGHTON PL     ,46,LARCENY
BRIGHTON TOWERS DRWY,1,SIMPLE ASSAULT
BRISTOL PL,2,LARCENY
BRISTOL PL   ,1,ROBBERY
BRISTOL PL     ,11,SIMPLE ASSAULT
BROAD RD,4,SIMPLE ASSAULT
BROAD RD     ,13,SIMPLE ASSAULT
BROAD ST,17,LARCENY
BROAD ST     ,32,LARCENY
BROADVIEW DR,2,FRAUD
BROADVIEW DR     ,1,BURGLARY
BRONSON ST,1,SIMPLE ASSAULT
BRONSON ST     ,3,BURGLARY
BRONX AV     ,3,LARCENY
BROOKFORD RD,5,BURGLARY
BROOKFORD RD     ,16,BURGLARY
BROOKLEA DR,1,BURGLARY
BROOKLEA DR     ,4,CRIMINAL MISCHIEF
BROOKLEA LN     ,1,SIMPLE ASSAULT
BROOKLEA PL,2,LARCENY
BROOKLEA PL     ,11,LARCENY
BRUCE        ,1,AGGRAVATED ASSAULT
BRUCE ST,27,SIMPLE ASSAULT
BRUCE ST     ,67,SIMPLE ASSAULT
BRYANT,3,CRIMINAL MISCHIEF
BRYANT        ,1,CRIMINAL MISCHIEF
BRYANT AV,8,SIMPLE ASSAULT
BRYANT AV   ,10,MV THEFT
BRYANT AV     ,47,SIMPLE ASSAULT
BRYANT AVE    ,14,LARCENY
BUCKINGAM AV,1,LARCENY
BUCKINGHAM,1,SIMPLE ASSAULT
BUCKINGHAM APTS   ,1,RAPE
BUCKINGHAM AV,8,CRIMINAL MISCHIEF
BUCKINGHAM AV   ,5,LARCENY
BUCKINGHAM AV     ,18,LARCENY
BUCKINGHAM AVE    ,6,LARCENY
BUCKINGHAM RD     ,1,LARCENY
BUGALOW TER,1,SIMPLE ASSAULT
BUNGALOW TER,3,BURGLARY
BUNGALOW TER    ,6,LARCENY
BUNKER HILL WAY    ,1,LARCENY
BURDICK,4,SIMPLE ASSAULT
BURDICK        ,4,SIMPLE ASSAULT
BURDICK AV,26,SIMPLE ASSAULT
BURDICK AV   ,8,AGGRAVATED ASSAULT
BURDICK AV     ,64,SIMPLE ASSAULT
BURDICK AVE,3,SIMPLE ASSAULT
BURDICK AVE    ,22,SIMPLE ASSAULT
BURDICK ST,2,CRIMINAL MISCHIEF
